J-Date,Date,Weekday,Open,High,Low,Close
1391-05-16,2012-08-06,Monday,21800,22100,21570,21980
1391-05-17,2012-08-07,Tuesday,21970,21970,20850,20850
1391-05-18,2012-08-08,Wednesday,20700,20950,20570,20950
1391-05-20,2012-08-10,Friday,20800,21350,20800,21300
1391-05-21,2012-08-11,Saturday,21390,21520,21370,21480
1391-05-22,2012-08-12,Sunday,21400,21410,21290,21300
1391-05-23,2012-08-13,Monday,21290,21310,21210,21210
1391-05-24,2012-08-14,Tuesday,21230,21240,21070,21070
1391-05-25,2012-08-15,Wednesday,21110,21260,21060,21260
1391-05-27,2012-08-17,Friday,21300,21320,21200,21200
1391-05-30,2012-08-20,Monday,21210,21290,21180,21290
1391-05-31,2012-08-21,Tuesday,21360,21360,21290,21360
1391-06-01,2012-08-22,Wednesday,21420,21690,21420,21630
1391-06-03,2012-08-24,Friday,21830,22100,21820,21940
1391-06-04,2012-08-25,Saturday,22000,22000,21650,21730
1391-06-05,2012-08-26,Sunday,21750,21960,21720,21960
1391-06-06,2012-08-27,Monday,21930,21940,21930,21940
1391-06-07,2012-08-28,Tuesday,21930,21950,21930,21940
1391-06-10,2012-08-31,Friday,21850,21850,21770,21800
1391-06-11,2012-09-01,Saturday,21780,21780,21590,21590
1391-06-12,2012-09-02,Sunday,21500,21730,21330,21730
1391-06-13,2012-09-03,Monday,21820,21910,21750,21820
1391-06-14,2012-09-04,Tuesday,21820,22190,21810,22180
1391-06-15,2012-09-05,Wednesday,22370,22500,22210,22210
1391-06-17,2012-09-07,Friday,22500,23020,22500,23020
1391-06-18,2012-09-08,Saturday,23140,24480,23140,24480
1391-06-19,2012-09-09,Sunday,24900,26300,24900,25600
1391-06-20,2012-09-10,Monday,25200,25200,24250,24750
1391-06-22,2012-09-12,Wednesday,23900,24000,23820,23910
1391-06-24,2012-09-14,Friday,23850,24480,23850,24480
1391-06-25,2012-09-15,Saturday,24350,24550,24320,24470
1391-06-26,2012-09-16,Sunday,24470,25240,24470,24930
1391-06-27,2012-09-17,Monday,24700,24820,24300,24360
1391-06-28,2012-09-18,Tuesday,24210,24360,23990,24280
1391-06-29,2012-09-19,Wednesday,24340,24410,24340,24380
1391-06-31,2012-09-21,Friday,24740,24740,24370,24690
1391-07-01,2012-09-22,Saturday,24660,24780,24510,24760
1391-07-02,2012-09-23,Sunday,24600,25300,24600,25200
1391-07-03,2012-09-24,Monday,25310,26530,25310,25480
1391-07-04,2012-09-25,Tuesday,26150,26460,26120,26300
1391-07-05,2012-09-26,Wednesday,26760,26900,26760,26900
1391-07-07,2012-09-28,Friday,27160,28500,27160,28440
1391-07-08,2012-09-29,Saturday,29600,29800,29410,29800
1391-07-09,2012-09-30,Sunday,29680,34700,29680,34700
1391-07-10,2012-10-01,Monday,33300,36100,33300,36100
1391-07-11,2012-10-02,Tuesday,35700,36300,30000,34000
1391-07-12,2012-10-03,Wednesday,31000,32000,29600,30000
1391-07-14,2012-10-05,Friday,29000,31500,28500,30300
1391-07-15,2012-10-06,Saturday,29800,31200,28500,30000
1391-07-16,2012-10-07,Sunday,30670,33400,30670,33400
1391-07-17,2012-10-08,Monday,34000,34500,33000,33000
1391-07-18,2012-10-09,Tuesday,32200,33500,31250,33000
1391-07-19,2012-10-10,Wednesday,33000,33450,33000,33250
1391-07-21,2012-10-12,Friday,33950,33950,33950,33950
1391-07-22,2012-10-13,Saturday,33700,34200,33500,34000
1391-07-23,2012-10-14,Sunday,34600,35400,34600,35200
1391-07-24,2012-10-15,Monday,36000,36000,36000,36000
1391-07-25,2012-10-16,Tuesday,33350,33350,33350,33350
1391-07-26,2012-10-17,Wednesday,33350,36000,33350,35300
1391-07-28,2012-10-19,Friday,36000,36000,36000,36000
1391-07-29,2012-10-20,Saturday,35500,35500,35000,35400
1391-07-30,2012-10-21,Sunday,36000,36000,36000,36000
1391-08-01,2012-10-22,Monday,33000,33000,32700,32700
1391-08-02,2012-10-23,Tuesday,34000,34000,34000,34000
1391-08-03,2012-10-24,Wednesday,34000,34000,34000,34000
1391-08-04,2012-10-25,Thursday,34000,34000,34000,34000
1391-08-05,2012-10-26,Friday,33400,33400,33400,33400
1391-08-06,2012-10-27,Saturday,32900,32900,32900,32900
1391-08-07,2012-10-28,Sunday,33400,33400,33400,33400
1391-08-08,2012-10-29,Monday,33000,33000,33000,33000
1391-08-09,2012-10-30,Tuesday,32900,32900,32900,32900
1391-08-10,2012-10-31,Wednesday,32900,32900,32900,32900
1391-08-11,2012-11-01,Thursday,32900,32900,32900,32900
1391-08-12,2012-11-02,Friday,32900,32900,32900,32900
1391-08-13,2012-11-03,Saturday,31000,31000,29500,29500
1391-08-14,2012-11-04,Sunday,29500,29500,29500,29500
1391-08-15,2012-11-05,Monday,32000,32000,32000,32000
1391-08-16,2012-11-06,Tuesday,31800,31800,31800,31800
1391-08-17,2012-11-07,Wednesday,31800,31800,31800,31800
1391-08-18,2012-11-08,Thursday,31800,31800,31800,31800
1391-08-19,2012-11-09,Friday,31000,31000,31000,31000
1391-08-20,2012-11-10,Saturday,30700,30700,30700,30700
1391-08-21,2012-11-11,Sunday,30500,30500,30500,30500
1391-08-22,2012-11-12,Monday,30000,30000,30000,30000
1391-08-23,2012-11-13,Tuesday,29800,29800,29800,29800
1391-08-24,2012-11-14,Wednesday,29800,29800,29800,29800
1391-08-25,2012-11-15,Thursday,29800,29800,29800,29800
1391-08-26,2012-11-16,Friday,29400,29400,29400,29400
1391-08-27,2012-11-17,Saturday,28500,28500,28500,28500
1391-08-28,2012-11-18,Sunday,28000,28000,28000,28000
1391-08-29,2012-11-19,Monday,26500,26500,26500,26500
1391-08-30,2012-11-20,Tuesday,28400,28400,28400,28400
1391-09-01,2012-11-21,Wednesday,28400,29000,28400,29000
1391-09-02,2012-11-22,Thursday,29000,29000,29000,29000
1391-09-03,2012-11-23,Friday,29000,29000,29000,29000
1391-09-04,2012-11-24,Saturday,29000,29000,29000,29000
1391-09-05,2012-11-25,Sunday,28900,28900,28900,28900
1391-09-06,2012-11-26,Monday,28000,28000,28000,28000
1391-09-07,2012-11-27,Tuesday,29000,29000,29000,29000
1391-09-08,2012-11-28,Wednesday,28700,28700,28700,28700
1391-09-10,2012-11-30,Friday,29500,29500,29500,29500
1391-09-11,2012-12-01,Saturday,29300,29300,29300,29300
1391-09-12,2012-12-02,Sunday,29300,29300,29300,29300
1391-09-13,2012-12-03,Monday,29100,29100,29100,29100
1391-09-14,2012-12-04,Tuesday,29300,29300,29300,29300
1391-09-15,2012-12-05,Wednesday,29300,29300,29300,29300
1391-09-16,2012-12-06,Thursday,29300,29300,29300,29300
1391-09-17,2012-12-07,Friday,30500,30500,30500,30500
1391-09-18,2012-12-08,Saturday,29000,29000,29000,29000
1391-09-19,2012-12-09,Sunday,29800,29800,29800,29800
1391-09-20,2012-12-10,Monday,30100,30100,30100,30100
1391-09-21,2012-12-11,Tuesday,29950,29950,29950,29950
1391-09-22,2012-12-12,Wednesday,30200,30200,30200,30200
1391-09-24,2012-12-14,Friday,29700,29700,29700,29700
1391-09-25,2012-12-15,Saturday,30000,30000,30000,30000
1391-09-26,2012-12-16,Sunday,30000,30330,30000,30330
1391-09-27,2012-12-17,Monday,30900,31100,30900,31100
1391-09-28,2012-12-18,Tuesday,31250,31350,30850,30850
1391-09-29,2012-12-19,Wednesday,31000,31000,31000,31000
1391-10-01,2012-12-21,Friday,31500,31700,31300,31700
1391-10-02,2012-12-22,Saturday,31800,32400,31800,32400
1391-10-03,2012-12-23,Sunday,33500,33500,33320,33320
1391-10-04,2012-12-24,Monday,34200,34200,33320,33320
1391-10-05,2012-12-25,Tuesday,32640,33280,32480,32750
1391-10-06,2012-12-26,Wednesday,32850,32850,32600,32600
1391-10-08,2012-12-28,Friday,32800,32800,32100,32100
1391-10-09,2012-12-29,Saturday,31950,32300,31600,32300
1391-10-10,2012-12-30,Sunday,32900,32900,32400,32400
1391-10-11,2012-12-31,Monday,32400,32550,32400,32400
1391-10-12,2013-01-01,Tuesday,32350,32500,32350,32450
1391-10-15,2013-01-04,Friday,32350,32350,32350,32350
1391-10-16,2013-01-05,Saturday,32400,32460,32330,32460
1391-10-17,2013-01-06,Sunday,32400,32400,32300,32350
1391-10-18,2013-01-07,Monday,32420,32660,32400,32660
1391-10-19,2013-01-08,Tuesday,32550,33250,32550,32850
1391-10-20,2013-01-09,Wednesday,32800,32800,32800,32800
1391-10-23,2013-01-12,Saturday,32700,33080,32700,32880
1391-10-24,2013-01-13,Sunday,32900,32950,32850,32900
1391-10-25,2013-01-14,Monday,32930,33100,32900,33050
1391-10-26,2013-01-15,Tuesday,33300,33300,33010,33050
1391-10-27,2013-01-16,Wednesday,33080,33080,33050,33050
1391-10-29,2013-01-18,Friday,33150,33400,33150,33400
1391-10-30,2013-01-19,Saturday,33300,34350,33300,34100
1391-11-01,2013-01-20,Sunday,34400,35430,34400,35150
1391-11-02,2013-01-21,Monday,35240,36500,35240,36190
1391-11-03,2013-01-22,Tuesday,36500,36500,34960,35600
1391-11-04,2013-01-23,Wednesday,35400,35400,35200,35250
1391-11-06,2013-01-25,Friday,35000,35500,35000,35500
1391-11-07,2013-01-26,Saturday,35600,36520,35600,36520
1391-11-08,2013-01-27,Sunday,36300,36710,36000,36500
1391-11-09,2013-01-28,Monday,36600,36600,36600,36600
1391-11-10,2013-01-29,Tuesday,36800,38100,36800,37950
1391-11-11,2013-01-30,Wednesday,37800,38900,37800,38900
1391-11-13,2013-02-01,Friday,39400,39700,37800,38200
1391-11-14,2013-02-02,Saturday,38100,38100,37800,38100
1391-11-15,2013-02-03,Sunday,37700,38250,37700,38250
1391-11-16,2013-02-04,Monday,38900,38900,38500,38500
1391-11-17,2013-02-05,Tuesday,37700,37700,37150,37150
1391-11-18,2013-02-06,Wednesday,37900,38200,37900,38200
1391-11-20,2013-02-08,Friday,38250,38500,38250,38500
1391-11-22,2013-02-10,Sunday,38300,38300,37700,37700
1391-11-23,2013-02-11,Monday,37500,37500,37200,37200
1391-11-24,2013-02-12,Tuesday,36000,36500,35900,36500
1391-11-25,2013-02-13,Wednesday,36900,37500,36900,37500
1391-11-27,2013-02-15,Friday,37450,37450,37140,37300
1391-11-28,2013-02-16,Saturday,37000,37000,36800,36800
1391-11-29,2013-02-17,Sunday,36600,37100,36600,37100
1391-11-30,2013-02-18,Monday,37400,37500,37250,37250
1391-12-01,2013-02-19,Tuesday,36800,37100,36800,36900
1391-12-02,2013-02-20,Wednesday,36700,36750,36700,36750
1391-12-04,2013-02-22,Friday,37000,37100,36800,36800
1391-12-05,2013-02-23,Saturday,36650,36750,36550,36750
1391-12-06,2013-02-24,Sunday,36890,37460,36890,37460
1391-12-07,2013-02-25,Monday,37450,37850,37450,37650
1391-12-08,2013-02-26,Tuesday,37900,37900,37050,37050
1391-12-09,2013-02-27,Wednesday,37000,37000,36750,36750
1391-12-11,2013-03-01,Friday,36500,36650,36450,36450
1391-12-12,2013-03-02,Saturday,36100,36100,34900,34900
1391-12-13,2013-03-03,Sunday,33900,33900,32850,33050
